Обработка,Интервью с руководителем,СБ,Оформление
0 days 00:00:48,0 days 00:00:01,0 days 17:51:55,5 days 23:48:03
0 days 00:00:20,0 days 00:00:01,0 days 00:00:03,0 days 00:00:26
0 days 00:00:20,0 days 23:57:36,0 days 17:00:00,13 days 23:20:26
0 days 00:01:34,0 days 00:00:01,0 days 19:02:04,4 days 17:58:45
0 days 00:00:31,0 days 00:00:01,0 days 22:55:05,7 days 02:38:59
0 days 00:00:19,0 days 00:00:02,0 days 18:41:56,12 days 00:57:51
0 days 00:00:30,0 days 00:00:01,0 days 05:03:16,16 days 07:04:29
0 days 00:00:39,0 days 00:00:01,0 days 17:47:31,0 days 23:50:34
0 days 00:00:42,0 days 00:00:01,0 days 18:21:11,14 days 01:11:46
0 days 00:00:18,0 days 00:00:01,0 days 18:36:37,12 days 19:08:07
0 days 00:00:30,0 days 00:00:01,0 days 17:37:47,10 days 17:28:45
0 days 00:00:27,1 days 18:23:18,0 days 04:43:47,5 days 23:24:03
0 days 17:19:33,6 days 15:18:46,0 days 05:14:22,6 days 08:08:09
0 days 00:00:27,0 days 00:00:02,0 days 18:28:40,4 days 20:37:08
0 days 00:00:25,0 days 00:00:01,0 days 18:01:41,1 days 19:42:43
0 days 00:00:32,0 days 00:00:02,0 days 18:05:52,14 days 19:21:37
0 days 00:00:35,0 days 00:00:01,0 days 18:01:48,1 days 20:42:49
0 days 00:00:16,0 days 00:00:01,0 days 18:02:21,15 days 20:10:04
0 days 00:00:14,0 days 00:00:01,0 days 17:41:39,1 days 22:04:00
0 days 00:00:26,0 days 00:00:02,0 days 02:53:24,18 days 06:10:32
0 days 00:00:21,0 days 23:02:30,0 days 18:03:16,5 days 02:34:40
0 days 00:00:24,0 days 00:00:02,0 days 00:00:02,0 days 00:00:08
0 days 00:00:26,1 days 02:43:43,0 days 05:51:23,5 days 00:17:47
0 days 00:00:18,0 days 00:00:01,0 days 17:22:16,2 days 03:14:34
0 days 00:03:20,0 days 00:00:02,0 days 17:47:56,27 days 01:44:22
0 days 00:00:36,0 days 00:00:01,0 days 18:30:23,24 days 01:17:33
0 days 00:00:31,0 days 00:00:02,0 days 18:25:50,0 days 23:13:20
0 days 00:00:20,0 days 00:00:01,0 days 18:36:38,2 days 03:35:09
0 days 00:01:34,1 days 17:43:42,0 days 04:17:34,13 days 00:07:41
0 days 00:00:17,0 days 00:00:01,0 days 18:42:05,1 days 20:06:46
0 days 00:00:22,0 days 00:00:01,0 days 17:22:58,2 days 08:43:40
0 days 00:00:26,0 days 00:00:02,0 days 17:47:18,34 days 18:58:10
0 days 00:00:29,0 days 00:00:02,0 days 18:19:28,7 days 23:43:34
0 days 00:00:35,2 days 22:18:43,0 days 00:00:02,0 days 00:00:10
0 days 00:00:12,0 days 00:00:02,2 days 18:43:45,29 days 02:01:02
0 days 00:00:25,0 days 00:00:02,0 days 17:52:06,7 days 23:56:26
0 days 00:00:18,0 days 00:00:02,0 days 18:20:25,14 days 19:16:18
0 days 00:00:32,0 days 00:00:01,0 days 17:50:09,14 days 19:29:04
0 days 00:00:21,0 days 00:00:01,0 days 17:35:20,2 days 19:50:33
0 days 00:00:30,0 days 00:00:01,0 days 18:07:36,16 days 20:52:16
0 days 18:40:31,0 days 00:00:01,0 days 03:16:53,8 days 02:44:47
0 days 00:00:37,0 days 00:00:02,0 days 17:55:13,6 days 20:01:20
0 days 00:00:18,0 days 20:26:06,0 days 03:28:32,2 days 09:32:33
0 days 00:00:17,0 days 23:10:09,0 days 17:44:07,36 days 00:57:48
0 days 00:00:17,0 days 00:00:01,0 days 18:04:51,8 days 00:02:41
0 days 00:00:11,3 days 17:05:15,0 days 03:22:21,4 days 01:07:29
0 days 00:00:21,0 days 00:00:01,0 days 17:58:31,5 days 22:23:15
0 days 00:00:20,0 days 00:00:01,0 days 17:56:03,5 days 04:51:53
0 days 00:00:19,0 days 00:00:02,0 days 16:54:35,3 days 00:57:03
0 days 00:00:17,0 days 00:00:02,0 days 18:01:23,14 days 20:44:27
20 days 21:52:19,20 days 21:51:50,0 days 17:42:49,17 days 00:27:28
0 days 00:00:19,0 days 00:00:01,0 days 17:53:29,9 days 00:39:28
0 days 00:00:45,0 days 00:00:01,0 days 16:44:13,1 days 01:40:41
0 days 00:00:37,0 days 00:00:02,0 days 17:02:42,6 days 01:46:20
0 days 00:00:20,0 days 00:00:02,0 days 17:41:44,5 days 02:58:21
0 days 00:00:22,0 days 00:00:02,0 days 17:32:06,8 days 02:34:03
0 days 00:00:28,0 days 00:00:01,0 days 17:48:27,5 days 07:23:42
0 days 00:00:18,0 days 00:00:01,0 days 17:40:35,7 days 22:03:59
0 days 00:00:21,0 days 00:00:01,0 days 17:28:43,7 days 01:28:28
0 days 00:00:17,0 days 00:00:01,0 days 17:37:18,2 days 06:52:03
0 days 00:00:33,0 days 00:00:02,0 days 17:37:11,9 days 05:56:06
0 days 00:00:19,0 days 00:00:01,0 days 17:38:25,5 days 20:53:30
0 days 00:00:15,0 days 00:00:01,0 days 17:35:21,7 days 00:05:59
0 days 00:00:20,0 days 00:00:01,0 days 21:43:34,1 days 03:32:40
0 days 00:01:00,0 days 00:00:02,0 days 17:25:28,1 days 00:54:45
0 days 00:00:41,3 days 17:22:51,0 days 04:03:49,11 days 21:05:05
0 days 00:00:21,0 days 00:00:01,0 days 22:28:51,6 days 06:32:32
0 days 00:00:22,0 days 00:00:01,0 days 17:45:53,2 days 21:42:06
0 days 00:00:22,0 days 00:00:01,0 days 22:50:01,5 days 00:33:55
0 days 00:00:11,7 days 21:01:53,0 days 00:00:03,0 days 00:00:14
0 days 00:00:17,4 days 04:31:05,0 days 00:00:01,3 days 18:23:47
0 days 00:01:38,0 days 00:00:02,0 days 18:34:28,6 days 01:44:01
0 days 00:00:16,1 days 16:28:34,0 days 04:28:43,13 days 18:37:19
0 days 00:00:28,0 days 00:00:02,0 days 18:27:03,6 days 02:06:19
0 days 00:00:17,0 days 00:00:01,0 days 18:29:58,14 days 03:17:43
0 days 00:00:10,1 days 20:33:36,0 days 04:44:37,12 days 01:44:29
0 days 00:01:52,0 days 00:00:01,0 days 18:32:59,15 days 19:03:10
0 days 00:00:20,0 days 00:00:01,0 days 18:26:54,9 days 00:54:47
0 days 00:00:13,2 days 13:51:52,0 days 05:00:09,0 days 05:16:44
0 days 00:00:21,0 days 00:00:02,0 days 18:22:38,8 days 04:22:36
0 days 00:00:17,0 days 00:00:01,0 days 18:19:52,0 days 20:02:31
0 days 00:00:25,0 days 00:00:01,0 days 17:30:01,1 days 00:20:14
0 days 00:00:22,7 days 19:23:28,0 days 04:25:36,6 days 23:46:28
0 days 00:00:30,0 days 00:00:01,0 days 17:59:58,1 days 21:07:52
0 days 00:00:10,3 days 15:35:43,0 days 04:27:24,1 days 22:55:00
0 days 00:00:24,0 days 00:00:02,0 days 17:27:49,10 days 17:18:17
0 days 00:00:09,20 days 20:31:17,0 days 00:00:01,0 days 00:00:04
0 days 00:00:31,0 days 00:00:01,0 days 17:24:43,1 days 01:53:30
0 days 00:00:32,0 days 00:00:01,0 days 18:13:40,2 days 03:06:31
0 days 00:00:18,0 days 00:00:01,0 days 17:26:32,1 days 21:41:23
0 days 00:00:35,0 days 00:00:01,0 days 17:20:54,6 days 02:39:46
0 days 00:00:22,0 days 00:00:01,0 days 17:46:31,6 days 06:00:46
0 days 00:00:21,0 days 00:00:02,0 days 17:18:07,3 days 01:26:42
0 days 00:00:16,0 days 00:00:01,0 days 17:15:50,36 days 23:44:50
0 days 00:00:17,0 days 00:00:01,0 days 17:18:07,8 days 01:56:02
0 days 00:00:13,2 days 15:06:52,0 days 03:27:27,4 days 02:31:50
0 days 00:00:12,1 days 15:58:15,0 days 04:55:53,9 days 00:33:24
0 days 00:00:14,44 days 17:52:28,0 days 00:00:01,0 days 00:00:06
0 days 00:00:19,0 days 00:00:01,0 days 16:25:43,6 days 23:30:23
0 days 00:00:34,0 days 00:00:02,0 days 16:41:57,0 days 23:32:38
0 days 00:00:18,1 days 13:59:57,0 days 07:54:15,10 days 23:49:09
0 days 00:00:14,0 days 00:00:01,0 days 16:19:44,6 days 07:38:52
0 days 16:30:26,0 days 00:00:01,0 days 03:45:00,2 days 23:36:50
0 days 00:00:27,0 days 00:00:01,0 days 15:45:19,7 days 23:56:16
0 days 00:00:45,0 days 00:00:01,0 days 16:02:40,26 days 17:41:12
0 days 00:00:12,0 days 00:00:01,0 days 15:55:25,9 days 22:18:42
0 days 00:00:10,0 days 00:00:01,0 days 00:00:02,6 days 22:45:31
0 days 00:00:28,0 days 00:00:02,0 days 15:13:11,1 days 00:14:09
0 days 00:00:20,0 days 00:00:01,0 days 15:05:36,6 days 23:54:46
0 days 00:00:09,1 days 12:19:16,0 days 03:10:24,5 days 00:28:21
0 days 00:00:17,0 days 00:00:01,0 days 15:10:42,1 days 17:44:21
0 days 00:00:21,0 days 00:00:01,0 days 16:35:31,1 days 21:55:51
0 days 00:00:16,0 days 00:00:01,0 days 14:17:12,6 days 03:10:16
0 days 00:05:23,0 days 00:00:01,0 days 14:07:29,6 days 02:30:37
0 days 00:00:17,0 days 00:00:02,0 days 14:04:28,37 days 00:46:15
0 days 00:00:21,0 days 00:00:01,0 days 14:07:51,0 days 20:06:04
0 days 14:51:43,0 days 00:00:01,0 days 00:00:23,6 days 00:52:56
0 days 00:00:15,0 days 00:00:01,0 days 14:41:03,33 days 01:52:13
0 days 00:00:29,0 days 00:00:01,0 days 13:46:18,6 days 04:08:16
0 days 00:00:21,0 days 00:00:01,0 days 13:23:52,5 days 20:30:14
0 days 00:00:17,0 days 00:00:01,0 days 09:23:40,7 days 07:15:04
0 days 00:00:35,0 days 00:00:01,0 days 05:36:19,13 days 00:21:46
0 days 00:00:37,0 days 00:00:01,0 days 05:28:12,2 days 06:12:13
0 days 00:00:09,20 days 10:10:38,0 days 21:27:57,7 days 00:57:38
0 days 00:00:58,0 days 00:00:01,0 days 04:39:03,8 days 21:06:58
0 days 00:00:50,0 days 00:00:01,0 days 04:47:12,15 days 20:28:40
0 days 00:00:18,0 days 05:50:43,0 days 02:38:56,3 days 01:07:52
0 days 00:00:34,0 days 00:00:01,0 days 04:32:40,4 days 02:59:55
0 days 00:00:20,0 days 00:00:01,0 days 04:41:16,9 days 09:14:23
0 days 00:00:16,0 days 07:10:03,0 days 19:14:44,13 days 16:43:45
0 days 00:00:26,0 days 00:00:01,0 days 04:29:27,16 days 20:10:55
0 days 00:00:25,0 days 00:00:01,0 days 04:22:20,14 days 02:14:10
0 days 00:00:22,0 days 00:00:01,0 days 04:25:30,7 days 06:33:32
0 days 00:01:05,0 days 00:00:01,0 days 04:10:52,1 days 01:24:41
0 days 00:00:38,0 days 00:00:01,0 days 04:14:42,26 days 18:44:48
0 days 00:00:19,0 days 00:00:01,0 days 04:12:13,3 days 01:45:19
0 days 00:00:16,0 days 00:00:01,0 days 03:55:16,9 days 01:26:22
0 days 00:00:14,1 days 08:07:20,0 days 18:08:27,7 days 05:02:48
0 days 00:00:40,0 days 00:00:01,0 days 04:03:25,27 days 20:04:44
0 days 00:00:31,0 days 00:00:00,0 days 04:00:11,9 days 03:24:17
0 days 00:00:15,1 days 01:49:23,0 days 04:54:36,6 days 08:33:03
0 days 00:00:18,0 days 00:00:01,0 days 04:06:58,7 days 00:55:16
0 days 00:00:46,0 days 00:00:01,0 days 03:59:52,8 days 01:23:27
0 days 00:00:21,0 days 00:00:01,0 days 03:48:00,9 days 00:25:59
0 days 00:00:17,0 days 00:00:02,0 days 04:10:54,3 days 04:11:08
0 days 00:00:25,0 days 00:00:01,0 days 03:53:55,2 days 07:10:41
0 days 00:00:41,0 days 00:00:01,0 days 03:55:49,7 days 01:31:16
0 days 00:00:19,0 days 00:00:01,0 days 03:50:49,1 days 19:36:50
0 days 00:00:18,0 days 00:00:01,0 days 03:57:47,7 days 08:25:29
0 days 00:00:14,0 days 00:00:01,0 days 03:59:19,1 days 21:46:44
0 days 00:00:19,0 days 00:00:01,0 days 04:15:32,9 days 21:11:20
0 days 00:00:20,0 days 00:00:01,0 days 03:40:46,1 days 02:17:55
0 days 00:00:21,0 days 00:00:01,0 days 03:51:21,8 days 01:40:34
0 days 00:00:22,0 days 00:00:01,0 days 03:47:42,19 days 21:59:01
0 days 00:00:36,0 days 00:00:01,0 days 03:58:35,23 days 20:18:07
0 days 00:00:26,0 days 00:00:01,0 days 04:02:49,1 days 21:24:42
0 days 00:00:25,0 days 00:00:01,0 days 03:59:58,7 days 22:25:10
0 days 00:00:15,0 days 00:00:01,0 days 03:28:22,10 days 18:14:36
0 days 00:00:15,0 days 00:00:01,0 days 03:57:05,5 days 22:44:42
0 days 00:00:08,0 days 04:18:13,0 days 18:42:15,7 days 01:44:55
0 days 00:00:31,0 days 00:00:01,0 days 04:17:54,2 days 21:16:39
0 days 00:00:17,0 days 00:00:01,0 days 04:09:52,16 days 22:40:49
0 days 00:00:39,0 days 00:00:01,0 days 03:34:35,8 days 05:54:21
0 days 00:00:24,0 days 00:00:02,0 days 04:04:50,7 days 07:58:25
0 days 00:00:21,0 days 00:00:01,0 days 03:58:22,6 days 00:26:51
0 days 00:00:18,0 days 00:00:02,0 days 03:33:03,2 days 01:54:25
0 days 00:01:17,0 days 00:00:01,0 days 03:49:23,3 days 00:05:23
0 days 00:00:22,0 days 00:00:02,0 days 03:32:02,16 days 19:45:02
0 days 00:00:43,0 days 00:00:01,23 days 07:29:47,0 days 00:00:05
0 days 00:00:33,0 days 00:00:02,0 days 03:21:53,2 days 04:20:21
0 days 00:00:23,1 days 07:11:51,0 days 18:39:59,12 days 03:45:54
0 days 00:00:18,0 days 00:00:02,0 days 03:10:42,6 days 23:48:43
0 days 00:00:33,2 days 00:47:05,0 days 03:00:25,7 days 04:02:18
0 days 00:00:39,0 days 00:00:02,0 days 04:44:20,0 days 00:00:04
0 days 00:00:49,15 days 04:17:01,0 days 00:00:01,0 days 00:00:07
0 days 00:00:19,0 days 00:00:02,0 days 03:43:41,10 days 18:19:00
0 days 00:00:22,0 days 00:00:01,0 days 03:28:57,9 days 00:35:47
0 days 00:00:56,0 days 00:00:01,0 days 03:04:59,8 days 01:20:42
0 days 00:00:18,0 days 00:00:02,0 days 04:34:20,19 days 20:16:15
0 days 00:00:50,0 days 00:00:01,0 days 03:36:56,2 days 07:35:56
0 days 00:00:12,0 days 00:00:01,0 days 00:00:18,22 days 20:01:08
0 days 00:00:39,0 days 00:00:02,0 days 04:13:17,6 days 22:31:01
0 days 00:00:22,0 days 00:00:01,0 days 04:48:42,1 days 04:30:19
0 days 00:00:10,1 days 01:05:51,0 days 04:43:36,2 days 01:36:57
0 days 00:00:18,0 days 00:00:01,0 days 04:14:27,5 days 01:59:37
0 days 00:00:19,0 days 00:00:01,1 days 00:14:59,6 days 00:43:45
0 days 00:00:35,0 days 00:00:02,0 days 03:23:03,2 days 08:56:44
0 days 00:00:16,0 days 08:06:35,0 days 18:36:03,4 days 21:59:33
0 days 00:00:20,0 days 00:00:01,0 days 04:39:21,9 days 20:38:54
0 days 00:00:12,0 days 00:00:02,0 days 04:44:47,27 days 01:15:53
0 days 00:00:11,1 days 23:55:40,0 days 03:40:15,0 days 00:01:20
0 days 00:00:31,0 days 00:00:02,0 days 02:47:58,6 days 22:44:05
0 days 00:00:24,0 days 00:00:01,0 days 04:02:41,1 days 20:47:53
0 days 00:00:18,0 days 00:00:01,0 days 03:09:40,27 days 20:48:02
0 days 00:00:20,0 days 00:00:01,0 days 03:57:51,7 days 00:06:52
0 days 00:00:18,0 days 00:00:02,0 days 04:27:59,16 days 02:46:29
0 days 00:00:22,0 days 00:00:01,0 days 03:59:01,14 days 21:27:17
0 days 00:00:10,34 days 02:26:49,0 days 00:00:02,0 days 00:00:05
0 days 00:00:18,0 days 00:00:01,0 days 04:45:56,19 days 03:27:56
0 days 00:00:19,0 days 00:00:01,0 days 04:09:18,1 days 21:29:12
0 days 00:00:20,0 days 00:00:01,0 days 03:55:45,5 days 19:22:30
0 days 00:01:02,0 days 00:00:01,0 days 04:14:58,2 days 06:07:34
0 days 00:00:18,0 days 00:00:02,0 days 04:09:09,7 days 08:07:13
0 days 00:00:18,0 days 00:00:01,0 days 03:44:09,2 days 21:53:03
0 days 00:00:10,1 days 03:53:09,0 days 17:13:26,1 days 06:23:30
0 days 00:00:20,0 days 00:00:01,0 days 04:05:02,7 days 07:10:21
0 days 00:00:18,0 days 00:00:02,0 days 04:06:05,7 days 01:42:26
0 days 00:00:19,6 days 00:57:11,0 days 00:00:04,0 days 00:00:07
0 days 00:00:10,0 days 00:00:00,0 days 18:18:44,6 days 00:21:10
0 days 00:00:16,0 days 00:00:01,0 days 04:02:37,8 days 05:23:11
0 days 00:00:14,7 days 09:51:53,0 days 15:18:03,1 days 00:35:06
0 days 00:00:24,0 days 00:00:02,0 days 04:21:57,7 days 05:58:41
0 days 00:00:12,7 days 04:55:06,0 days 00:00:03,0 days 00:00:39
0 days 00:00:21,0 days 00:00:01,0 days 03:39:00,5 days 20:28:26
0 days 00:00:20,0 days 22:54:04,0 days 04:52:11,5 days 23:32:03
0 days 00:00:17,0 days 00:00:02,0 days 03:57:44,12 days 19:48:40
0 days 00:01:09,0 days 03:04:09,0 days 18:28:48,1 days 20:39:27
0 days 00:00:48,0 days 03:47:31,0 days 18:28:22,18 days 19:34:30
0 days 00:00:19,0 days 00:00:01,0 days 03:59:06,6 days 01:56:02
0 days 00:00:22,0 days 00:00:01,0 days 03:46:48,2 days 08:04:05
0 days 00:00:10,0 days 01:26:28,0 days 04:08:54,2 days 09:47:47
0 days 00:00:19,0 days 00:00:01,0 days 03:48:21,0 days 00:05:31
0 days 00:00:19,0 days 00:00:01,0 days 03:54:52,42 days 20:26:21
0 days 00:00:35,0 days 00:00:02,0 days 03:30:14,6 days 03:15:41
0 days 00:00:28,0 days 00:00:01,0 days 04:11:08,7 days 23:41:12
0 days 00:00:16,0 days 00:00:01,0 days 03:50:34,2 days 19:26:09
0 days 00:00:18,0 days 00:00:01,0 days 04:49:51,0 days 04:02:50
0 days 00:00:24,3 days 06:12:03,2 days 16:25:35,3 days 03:34:35
0 days 00:00:10,2 days 03:55:00,0 days 16:22:07,2 days 20:26:53
0 days 00:00:29,0 days 00:00:01,0 days 04:57:24,3 days 01:05:01
0 days 00:00:12,0 days 00:00:02,0 days 00:00:03,10 days 01:57:12
0 days 00:00:20,0 days 00:00:01,0 days 05:16:17,5 days 00:09:15
0 days 00:00:53,0 days 00:00:01,0 days 03:44:17,1 days 02:17:25
0 days 00:00:22,0 days 00:00:01,0 days 00:00:02,0 days 00:00:09
0 days 00:00:32,0 days 00:00:01,0 days 04:42:54,13 days 22:32:33
0 days 00:00:17,0 days 00:00:01,0 days 03:54:28,6 days 06:19:56
0 days 00:00:21,0 days 00:00:02,0 days 04:53:11,0 days 19:54:29
0 days 00:00:21,0 days 00:00:01,0 days 00:00:02,15 days 17:57:40
0 days 00:00:30,0 days 00:00:01,0 days 04:48:29,8 days 02:30:29
0 days 00:00:19,0 days 00:00:01,0 days 04:53:39,8 days 00:28:46
0 days 00:00:36,0 days 00:00:01,0 days 04:08:04,14 days 01:05:03
0 days 00:00:23,0 days 00:00:01,9 days 01:35:56,10 days 03:13:09
0 days 00:00:43,0 days 00:00:01,0 days 03:54:36,5 days 05:22:40
0 days 00:00:16,0 days 00:00:02,0 days 03:18:41,20 days 23:09:18
0 days 00:00:18,0 days 00:00:03,0 days 04:42:58,22 days 18:13:05
2 days 23:14:31,2 days 23:13:15,0 days 03:27:12,28 days 02:53:20
0 days 00:00:26,0 days 00:00:01,0 days 03:31:29,26 days 07:01:08
0 days 00:00:21,0 days 00:00:02,0 days 04:46:01,12 days 17:06:38
0 days 00:00:23,0 days 00:00:01,0 days 03:23:03,2 days 19:50:00
0 days 00:00:34,0 days 00:00:01,0 days 03:37:54,23 days 05:51:31
0 days 00:00:14,0 days 00:00:02,0 days 00:00:02,0 days 00:00:15
0 days 00:00:53,0 days 00:00:02,0 days 23:21:16,6 days 23:40:55
0 days 00:00:20,0 days 00:00:02,0 days 03:16:20,2 days 05:11:24
0 days 00:00:20,0 days 00:00:02,0 days 03:43:12,1 days 19:11:00
0 days 00:00:16,7 days 02:37:54,0 days 18:28:11,1 days 21:34:19
0 days 00:00:27,0 days 00:00:01,0 days 03:31:26,5 days 05:10:38
0 days 00:00:34,0 days 00:00:02,0 days 03:01:30,9 days 02:09:21
0 days 00:00:35,0 days 00:00:02,0 days 00:00:03,0 days 00:00:10
0 days 00:00:18,0 days 00:00:02,0 days 03:54:47,20 days 23:03:39
0 days 00:00:19,0 days 00:00:01,0 days 03:39:39,13 days 00:31:17
0 days 00:00:26,0 days 00:00:01,0 days 03:26:14,2 days 07:07:40
0 days 00:00:17,0 days 00:00:02,0 days 03:54:21,6 days 22:29:47
0 days 00:00:23,0 days 00:00:01,0 days 03:36:09,22 days 02:48:46
0 days 00:00:08,0 days 00:00:01,0 days 00:00:03,0 days 00:00:32
0 days 00:00:12,0 days 00:00:01,0 days 03:41:34,22 days 03:09:26
0 days 00:00:21,0 days 00:00:01,0 days 03:30:31,1 days 01:13:49
0 days 00:00:22,0 days 00:00:01,0 days 04:02:23,36 days 01:36:05
0 days 00:00:47,1 days 02:02:39,0 days 02:18:51,5 days 22:17:08
0 days 00:00:26,0 days 00:00:01,0 days 03:28:11,8 days 02:11:31
0 days 00:00:17,0 days 00:00:02,0 days 03:37:47,22 days 05:02:19
0 days 00:00:17,0 days 00:00:01,0 days 03:31:26,12 days 23:31:25
0 days 00:00:21,2 days 20:55:19,0 days 03:51:09,4 days 22:46:36
0 days 00:00:25,0 days 00:00:01,0 days 03:20:05,8 days 05:19:12
0 days 00:00:18,0 days 00:00:02,0 days 03:40:27,12 days 19:37:12
0 days 00:00:23,0 days 00:00:01,0 days 03:21:05,15 days 23:13:15
0 days 00:00:23,0 days 00:00:01,0 days 03:19:39,12 days 02:31:40
0 days 00:00:17,0 days 00:00:01,0 days 03:32:01,6 days 04:35:37
0 days 00:00:29,0 days 00:00:01,0 days 03:20:58,28 days 01:38:08
0 days 00:00:22,0 days 00:00:01,0 days 03:28:48,8 days 20:07:58
0 days 00:00:19,0 days 00:00:01,0 days 03:33:28,27 days 18:55:43
0 days 00:00:22,0 days 00:00:02,0 days 03:16:22,6 days 03:02:01
0 days 00:00:31,0 days 00:00:01,0 days 03:21:24,19 days 04:31:39
0 days 00:00:33,0 days 00:00:02,0 days 00:00:03,0 days 00:00:13
0 days 00:00:24,0 days 00:00:01,0 days 03:24:13,6 days 05:10:42
0 days 00:00:17,0 days 00:00:01,0 days 04:02:08,1 days 03:10:44
0 days 00:00:49,0 days 00:00:02,0 days 02:55:15,0 days 05:19:51
0 days 00:00:17,0 days 00:00:01,0 days 03:26:58,0 days 00:00:11
0 days 00:00:48,0 days 00:00:01,0 days 03:38:02,24 days 00:33:42
0 days 00:00:21,0 days 00:00:02,0 days 02:59:17,1 days 01:41:57
0 days 00:00:15,0 days 21:53:07,0 days 04:41:45,7 days 22:38:31
0 days 00:00:23,0 days 00:00:02,0 days 03:30:54,9 days 05:36:32
0 days 00:01:13,0 days 00:00:02,0 days 00:00:03,0 days 00:00:06
0 days 00:01:03,0 days 00:00:02,0 days 03:15:15,7 days 04:16:09
0 days 00:00:08,1 days 04:21:29,0 days 03:23:18,11 days 02:22:26
0 days 00:00:21,0 days 00:00:01,0 days 00:00:02,0 days 00:00:07
0 days 00:00:21,0 days 00:00:01,0 days 04:05:27,1 days 20:13:16
0 days 00:02:00,0 days 20:50:11,0 days 05:14:40,1 days 21:42:15
0 days 00:01:23,0 days 00:00:02,0 days 03:20:21,28 days 17:17:06
0 days 00:00:35,1 days 23:54:08,0 days 03:36:33,11 days 03:27:37
0 days 00:00:12,2 days 20:48:42,0 days 04:24:15,9 days 20:30:03
0 days 00:00:24,0 days 00:00:02,0 days 03:58:00,5 days 06:37:43
0 days 00:00:27,0 days 00:00:02,0 days 02:44:42,6 days 06:05:38
0 days 00:00:10,0 days 00:00:01,0 days 00:00:03,0 days 00:00:05
0 days 00:00:14,0 days 03:28:09,0 days 18:17:31,6 days 04:02:27
0 days 00:00:20,0 days 00:00:02,0 days 03:58:04,2 days 05:24:26
0 days 00:00:20,0 days 00:00:01,0 days 03:24:42,1 days 21:02:38
6 days 01:55:20,6 days 01:54:47,1 days 02:23:14,16 days 00:11:06
0 days 00:00:13,8 days 21:56:35,0 days 04:06:37,10 days 20:21:15
0 days 00:00:23,0 days 00:00:01,0 days 03:07:28,6 days 07:06:04
0 days 00:00:21,0 days 00:00:01,0 days 03:08:57,1 days 16:49:49
0 days 00:00:17,0 days 00:00:01,0 days 03:09:26,5 days 08:35:03
0 days 00:00:22,0 days 00:00:01,0 days 03:05:55,1 days 02:08:55
0 days 00:00:33,0 days 00:00:01,0 days 03:03:51,20 days 20:39:16
0 days 00:00:12,0 days 00:00:01,0 days 00:00:02,0 days 00:00:04
0 days 00:00:16,4 days 23:00:25,1 days 00:19:25,10 days 01:23:26
0 days 00:00:35,0 days 00:00:01,0 days 02:16:49,5 days 04:56:16
0 days 00:00:07,0 days 00:00:01,0 days 00:00:02,0 days 00:00:04
0 days 00:00:25,1 days 20:53:34,0 days 03:10:34,10 days 22:19:20
0 days 00:00:51,1 days 03:23:13,0 days 17:51:47,10 days 19:57:07
0 days 00:00:24,0 days 00:00:01,0 days 03:11:46,7 days 02:26:11
0 days 00:00:26,0 days 00:00:01,0 days 02:55:21,8 days 08:32:37
0 days 00:24:03,1 days 21:30:36,0 days 03:29:37,34 days 22:50:01
0 days 00:00:18,0 days 00:00:01,0 days 00:00:01,0 days 00:00:08
0 days 00:00:12,6 days 05:15:23,0 days 17:09:04,26 days 03:01:17
0 days 00:00:23,0 days 00:00:02,0 days 02:52:16,1 days 03:27:49
0 days 00:00:08,0 days 00:00:01,0 days 00:00:03,0 days 00:00:11
0 days 00:00:34,0 days 00:00:01,0 days 03:06:59,5 days 07:21:29
0 days 00:00:32,0 days 00:00:01,0 days 00:00:01,0 days 00:00:11
0 days 00:00:23,0 days 00:00:01,0 days 03:28:12,6 days 23:22:49
0 days 00:00:12,15 days 02:17:35,0 days 18:08:43,0 days 00:00:04
0 days 00:00:19,0 days 21:12:54,0 days 04:11:08,4 days 23:12:28
0 days 00:00:19,0 days 00:00:02,0 days 02:46:32,23 days 02:51:57
0 days 00:00:38,2 days 02:48:55,0 days 17:23:56,17 days 19:26:09
0 days 00:00:14,0 days 00:00:01,0 days 03:14:36,7 days 02:57:23
0 days 00:00:19,0 days 00:00:01,0 days 18:40:05,6 days 21:37:10
0 days 00:00:31,0 days 00:00:01,0 days 03:05:09,5 days 23:31:40
0 days 00:00:49,0 days 00:00:01,0 days 02:54:59,4 days 23:20:19
0 days 00:00:15,0 days 00:00:01,0 days 00:00:02,0 days 00:00:51
0 days 00:00:28,0 days 00:00:01,0 days 18:42:21,4 days 21:47:49
0 days 00:00:20,0 days 00:00:02,0 days 03:02:14,26 days 00:38:15
0 days 00:00:21,0 days 00:00:02,0 days 18:40:30,6 days 00:54:03
0 days 00:00:21,0 days 00:00:01,0 days 18:41:07,6 days 21:01:28
0 days 00:00:22,1 days 19:15:08,0 days 03:37:28,9 days 23:41:19
0 days 00:00:19,0 days 00:00:01,0 days 00:00:02,0 days 00:00:06
0 days 00:00:16,20 days 02:10:47,0 days 18:03:04,1 days 21:30:56
0 days 00:00:21,0 days 00:00:02,0 days 02:28:59,7 days 00:23:40
0 days 00:00:23,0 days 00:00:01,0 days 18:29:55,6 days 03:43:39
0 days 00:00:22,0 days 00:00:01,0 days 18:31:47,9 days 00:13:45
0 days 00:00:36,0 days 00:00:01,0 days 18:33:26,6 days 23:50:45
